Player,Span,Mat,Runs,HS,Batting Ave,100,Wkts,BBI,Bowling Ave,5,Ct,St
Sir RJ Hadlee (NZ),1973-1990,115,1751,79,21.61,,158,May-25,21.56,5,27,-
Imran Khan (PAK),1974-1992,175,3709,102*,33.41,1,182,Jun-14,26.61,1,36,-
IVA Richards (WI),1975-1991,187,6721,189*,47,11,118,Jun-41,35.83,2,100,-
IT Botham (ENG),1976-1992,116,2113,79,23.21,,145,Apr-31,28.54,-,36,-
Mudassar Nazar (PAK),1977-1989,122,2653,95,25.26,,111,May-28,30.91,1,21,-
N Kapil Dev (IND),1978-1994,225,3783,175*,23.79,1,253,May-43,27.45,1,71,-
RJ Shastri (IND),1981-1992,150,3108,109,29.04,4,129,May-15,36.04,1,40,-
PA de Silva (SL),1984-2003,308,9284,145,34.9,11,106,Apr-30,39.4,-,95,-
M Prabhakar (IND),1984-1996,130,1858,106,24.12,2,157,May-33,28.87,2,27,-
Wasim Akram (PAK),1984-2003,356,3717,86,16.52,,502,May-15,23.52,6,88,-
SP O'Donnell (AUS),1985-1991,87,1242,74*,25.34,,108,May-13,28.72,1,22,-
SR Waugh (AUS),1986-2002,325,7569,120*,32.9,3,195,Apr-33,34.67,-,111,-
CL Hooper (WI),1987-2003,227,5761,113*,35.34,7,193,Apr-34,36.05,-,120,-
SR Tendulkar (IND),1989-2012,463,18426,200*,44.83,49,154,May-32,44.48,2,140,-
ST Jayasuriya (Asia/SL),1989-2011,445,13430,189,32.36,28,323,Jun-29,36.75,4,123,-
CZ Harris (NZ),1990-2004,250,4379,130,29,1,203,May-42,37.5,1,96,-
CL Cairns (ICC/NZ),1991-2006,215,4950,115,29.46,4,201,May-42,32.8,1,66,-
SC Ganguly (Asia/IND),1992-2007,311,11363,183,41.02,22,100,May-16,38.49,2,100,-
WJ Cronje (SA),1992-2000,188,5565,112,38.64,2,114,May-32,34.78,1,73,-
GW Flower (ZIM),1992-2010,221,6571,142*,33.52,6,104,Apr-32,40.62,-,86,-
SK Warne (AUS/ICC),1993-2005,194,1018,55,13.05,,293,May-33,25.73,1,80,-
HH Streak (Afr/ZIM),1993-2005,189,2943,79*,28.29,,239,May-32,29.82,1,46,-
WPUJC Vaas (Asia/SL),1994-2008,322,2025,50*,13.68,,400,Aug-19,27.53,4,60,-
UDU Chandana (SL),1994-2007,147,1627,89,17.3,,151,May-61,31.9,1,79,-
HDPK Dharmasena (SL),1994-2004,141,1222,69*,22.62,,138,Apr-37,36.21,-,34,-
Mohammad Rafique (Asia/BAN),1995-2007,125,1191,77,13.38,,125,May-47,37.91,1,28,-
SM Pollock (Afr/ICC/SA),1996-2008,303,3519,130,26.45,1,393,Jun-35,24.5,5,108,-
JH Kallis (Afr/ICC/SA),1996-2014,328,11579,139,44.36,17,273,May-30,31.79,2,131,-
L Klusener (SA),1996-2004,171,3576,103*,41.1,2,192,Jun-49,29.95,6,35,-
TM Odoyo (Afr/KENYA),1996-2014,136,2420,111*,23.49,1,145,Apr-25,29.89,-,28,-
Azhar Mahmood (PAK),1996-2007,143,1521,67,18.1,,123,Jun-18,39.13,3,37,-
Shahid Afridi (Asia/ICC/PAK),1996-2015,398,8064,124,23.57,6,395,07-Dec,34.51,9,127,-
Abdul Razzaq (Asia/PAK),1996-2011,265,5080,112,29.7,3,269,Jun-35,31.83,3,35,-
DL Vettori (ICC/NZ),1997-2015,295,2253,83,17.33,,305,05-Jul,31.71,2,88,-
AB Agarkar (IND),1998-2007,191,1269,95,14.58,,288,Jun-42,27.85,2,52,-
Harbhajan Singh (Asia/IND),1998-2015,236,1237,49,13.3,,269,May-31,33.35,3,71,-
A Symonds (AUS),1998-2009,198,5088,156,39.75,6,133,May-18,37.25,1,82,-
A Flintoff (ENG/ICC),1999-2009,141,3394,123,32.01,3,169,May-19,24.38,2,47,-
CH Gayle (ICC/WI),1999-2019,301,10480,215,37.83,25,167,May-46,35.48,1,124,-
Shoaib Malik (PAK),1999-2019,287,7534,143,34.55,9,158,Apr-19,39.18,-,98,-
SB Styris (NZ),1999-2011,188,4483,141,32.48,4,137,Jun-25,35.32,1,73,-
TM Dilshan (SL),1999-2016,330,10290,161*,39.27,22,106,04-Apr,45.07,-,123,1
B Lee (AUS),2000-2012,221,1176,59,17.81,,380,May-22,23.36,9,54,-
Yuvraj Singh (Asia/IND),2000-2017,304,8701,150,36.55,14,111,May-31,38.68,1,94,-
JDP Oram (NZ),2001-2012,160,2434,101*,24.09,1,173,May-26,29.17,2,51,-
KD Mills (NZ),2001-2015,170,1047,54,15.62,,240,May-25,27.02,1,42,-
PD Collingwood (ENG),2001-2011,197,5092,120*,35.36,5,111,Jun-31,38.68,1,108,-
Mashrafe Mortaza (Asia/BAN),2001-2020,220,1787,51*,13.74,,270,Jun-26,32.93,1,62,-
SR Watson (AUS),2002-2015,190,5757,185*,40.54,9,168,Apr-36,31.79,-,64,-
Mohammad Hafeez (PAK),2003-2019,218,6614,140*,32.9,11,139,Apr-41,38.84,-,85,-
KMDN Kulasekara (SL),2003-2017,184,1327,73,15.43,,199,May-22,33.92,1,46,-
IK Pathan (IND),2004-2012,120,1544,83,23.39,,173,May-27,29.72,2,21,-
DJ Bravo (WI),2004-2014,164,2968,112*,25.36,2,199,Jun-43,29.51,1,73,-
E Chigumbura (Afr/ZIM),2004-2018,213,4340,117,25.23,2,101,Apr-28,42.31,-,72,-
P Utseya (ZIM),2004-2015,164,1406,68*,16.73,,133,May-36,46.9,1,50,-
MF Maharoof (SL),2004-2016,109,1113,69*,19.52,,135,Jun-14,28.06,2,26,-
KJ O'Brien (IRE),2006-2021,153,3619,142,29.42,2,114,Apr-13,32.68,-,67,-
Shakib Al Hasan (BAN),2006-2023,247,7570,134*,37.29,9,317,May-29,29.52,4,60,-
AD Mathews (SL),2008-2023,226,5916,139*,40.24,3,126,Jun-20,32.61,1,53,-
RA Jadeja (IND),2009-2025,204,2806,87,32.62,,231,May-33,35.41,2,76,-
Mohammad Nabi (AFG),2009-2025,173,3667,136,27.16,2,176,May-17,32.42,1,83,-
NLTC Perera (SL),2009-2021,166,2338,140,19.98,1,175,Jun-44,32.8,4,62,-
GH Dockrell (IRE),2010-2025,130,1435,91*,22.77,,106,Apr-24,36.7,-,47,-
CR Woakes (ENG),2011-2023,122,1524,95*,23.81,,173,Jun-45,30.01,3,50,-
JO Holder (WI),2013-2023,138,2237,99*,24.85,,159,May-27,36.96,2,65,-
MM Ali (ENG),2014-2023,138,2355,128,24.27,3,111,Apr-46,47.84,-,48,-
MJ Santner (NZ),2015-2025,118,1438,67,26.14,,126,May-50,35.75,2,50,-
Rashid Khan (AFG),2015-2025,114,1384,60*,19.49,,199,Jul-18,20.4,5,33,-
